zone,category,name,year,month,month_end,start_day,end_day
2,3,WILMA 2005,2005,10,10,15,26
2,3,BONNIE 1998,1998,8,8,19,31
2,3,FRAN 1996,1996,8,9,23,10
2,3,EMILY 1993,1993,8,9,22,6
2,3,BOB 1991,1991,8,8,16,29
2,3,ELLA 1978,1978,8,9,30,5
2,3,BELLE 1976,1976,8,8,6,10
2,3,GLADYS 1975,1975,9,10,22,4
2,3,BETSY 1965,1965,8,9,27,13
2,3,FRANCES 1961,1961,9,10,30,10
2,3,ESTHER 1961,1961,9,9,10,27
2,3,BETSY 1956,1956,8,8,9,21
2,3,CONNIE 1955,1955,8,8,3,15
2,3,EDNA 1954,1954,9,9,5,14
2,3,CAROL 1954,1954,8,9,25,1
2,3,CHARLIE 1952,1952,9,10,24,1
2,3,EASY 1950,1950,9,9,1,9
2,3,ABLE 1950,1950,8,8,12,24
2,3,UNNAMED 1948,1948,8,9,26,5
2,2,CHRIS 2018,2018,7,7,5,17
2,2,MARIA 2017,2017,9,10,16,2
2,2,ARTHUR 2014,2014,6,7,28,9
2,2,SANDY 2012,2012,10,10,21,31
2,2,IRENE 2011,2011,8,8,21,30
2,2,ALEX 2004,2004,7,8,31,6
2,2,ISABEL 2003,2003,9,9,6,20
2,2,IRENE 1999,1999,10,10,12,19
2,2,DENNIS 1999,1999,8,9,24,8
2,2,DANIELLE 1998,1998,8,9,24,8
2,2,BERTHA 1996,1996,7,7,5,17
2,2,GLORIA 1985,1985,9,10,16,2
2,2,JOSEPHINE 1984,1984,10,10,7,21
2,2,GERT 1981,1981,9,9,7,15
2,2,DAVID 1979,1979,8,9,25,8
2,2,GINGER 1971,1971,9,10,6,5
2,2,GERDA 1969,1969,9,9,7,12
2,2,GLADYS 1968,1968,10,10,13,21
2,2,FAITH 1966,1966,8,9,21,13
2,2,DORA 1964,1964,8,9,28,16
2,2,GINNY 1963,1963,10,10,17,30
2,2,ELLA 1962,1962,10,10,14,25
2,2,DONNA 1960,1960,8,9,29,14
2,2,EDNA 1953,1953,9,9,15,21
2,2,CAROL 1953,1953,8,9,28,9
2,2,ABLE 1952,1952,8,9,18,3
2,2,HOW 1951,1951,9,10,29,11
2,2,DOG 1950,1950,8,9,30,18
2,2,UNNAMED 1949(1),1949,8,9,23,1
2,2,UNNAMED 1949(2),1949,8,8,21,30
2,2,UNNAMED 1948(1),1948,10,10,3,16
2,2,UNNAMED 1948(2),1948,9,9,18,26
2,2,UNNAMED 1947,1947,10,10,8,16
2,2,UNNAMED 1946,1946,9,9,12,17
2,2,UNNAMED 1944,1944,10,10,12,24
2,1,IAN 2022,2022,9,10,22,1
2,1,HENRI 2021,2021,8,8,15,24
2,1,ISAIAS 2020,2020,7,8,28,5
2,1,JOSE 2017,2017,9,9,4,25
2,1,IRMA 2017,2017,8,9,30,13
2,1,GERT 2017,2017,8,8,12,18
2,1,KATE 2015,2015,11,11,8,13
2,1,CRISTOBAL 2014,2014,8,9,23,2
2,1,BERTHA 2014,2014,7,8,29,9
